id,polygon_type,n,algo,time,total_elength,mean_elength,total_dlength,mean_dlength,max_dlength,min_dlength,norm_dlength,norm_max_dlength,norm_min_dlength
random_polygon_70_0017,random,70,ear_clipping,0.0039902497082948685,12.404386567017024,0.1772055223859575,15.54861490510523,0.2320688791806751,0.7123938972569388,0.029931318748354044,1.3096029743092543,4.020156300238372,0.1689073700714754
random_polygon_70_0017,random,70,optimal_minsum,0.008049583062529564,12.404386567017024,0.1772055223859575,9.998080671028461,0.14922508464221584,0.34781287281778184,0.02854861212149429,0.8421017733138155,1.9627654270290618,0.1611045284430515
random_polygon_70_0017,random,70,optimal_minimax,0.008234999608248472,12.404386567017024,0.1772055223859575,10.994263797426106,0.16409348951382247,0.34781287281778184,0.02854861212149429,0.9260066351455079,1.9627654270290618,0.1611045284430515
random_polygon_70_0017,random,70,optimal_maximin,0.008234750013798475,12.404386567017024,0.1772055223859575,16.167880054004304,0.24131164259707916,0.7123938972569388,0.029931318748354044,1.3617614132334834,4.020156300238372,0.1689073700714754
random_polygon_70_0018,random,70,ear_clipping,0.0042145829647779465,10.915171565753168,0.1559310223679024,12.978158084483317,0.19370385200721368,0.5641266862496109,0.033072333141592726,1.2422406334910725,3.6177963671565943,0.21209591676736478
random_polygon_70_0018,random,70,optimal_minsum,0.00826058303937316,10.915171565753168,0.1559310223679024,9.171658385672293,0.13689042366675064,0.43111068259910157,0.033072333141592726,0.8778908878296999,2.7647524915339967,0.21209591676736478
random_polygon_70_0018,random,70,optimal_minimax,0.008074457757174969,10.915171565753168,0.1559310223679024,10.216827300424567,0.15248995970782936,0.43111068259910157,0.033072333141592726,0.9779321484088379,2.7647524915339967,0.21209591676736478
random_polygon_70_0018,random,70,optimal_maximin,0.008079458959400654,10.915171565753168,0.1559310223679024,17.342900441362367,0.2588492603188413,0.7063952145021465,0.042089672587855606,1.6600241336718389,4.530177534753048,0.2699249446883608
random_polygon_70_0019,random,70,ear_clipping,0.004248249810189009,11.188988370284497,0.15984269100406423,14.055318346327846,0.20978087084071412,0.5789596419444341,0.025974106464633617,1.3124207902341942,3.6220589024600014,0.16249793031808496
random_polygon_70_0019,random,70,optimal_minsum,0.008619207888841629,11.188988370284497,0.15984269100406423,9.837834482239726,0.14683335048118995,0.3637374782050912,0.025974106464633617,0.9186116021874062,2.2755965625969266,0.16249793031808496
